t,accel_cmd_x,accel_cmd_y,accel_cmd_z,fin_x,fin_y,fin_z,los_angle,los_rate,v_closing,range,nav_x,nav_y,nav_z
0,42.707892,0,-109.820294,0,0,0,0.370891289,0.0263705277,1117.08366,9656.60396,9000,0,3500
0.005,42.5654403,0,-109.496676,0,0,0,0.370759591,0.0263086371,1116.35486,9651.02036,8998.6,0,3499.8
0.01,42.423522,0,-109.174075,0,0,0,0.370628202,0.0262468898,1115.62741,9645.44041,8997.2,0,3499.6
0.015,42.2821347,0,-108.852486,0,0,0,0.370497121,0.0261852855,1114.9013,9639.86408,8995.8,0,3499.4
0.02,42.141276,0,-108.531904,0,0,0,0.370366349,0.0261238236,1114.17654,9634.29139,8994.4,0,3499.2
0.025,42.0009435,0,-108.212327,0,0,0,0.370235883,0.0260625037,1113.45312,9628.72232,8993,0,3499
0.03,41.8611347,0,-107.893751,0,0,0,0.370105723,0.0260013255,1112.73103,9623.15686,8991.6,0,3498.8
0.035,41.7218472,0,-107.57617,0,0,0,0.369975869,0.0259402884,1112.01028,9617.595,8990.2,0,3498.6
0.04,41.5830786,0,-107.259583,0,0,0,0.36984632,0.0258793921,1111.29085,9612.03675,8988.8,0,3498.4
0.045,41.4448265,0,-106.943984,0,0,0,0.369717075,0.0258186361,1110.57274,9606.48209,8987.4,0,3498.2
0.05,41.3070887,0,-106.62937,0,0,0,0.369588133,0.02575802,1109.85596,9600.93102,8986,0,3498
0.055,41.1698627,0,-106.315737,0,0,0,0.369459494,0.0256975433,1109.14049,9595.38353,8984.6,0,3497.8
0.06,41.0331461,0,-106.003082,0,0,0,0.369331157,0.0256372058,1108.42633,9589.83961,8983.2,0,3497.6
0.065,40.8969367,0,-105.6914,0,0,0,0.369203121,0.0255770068,1107.71349,9584.29926,8981.8,0,3497.4
0.07,40.7612322,0,-105.380687,0,0,0,0.369075387,0.025516946,1107.00194,9578.76247,8980.4,0,3497.2
0.075,40.6260302,0,-105.070941,0,0,0,0.368947952,0.025457023,1106.2917,9573.22924,8979,0,3497
0.08,40.4913285,0,-104.762157,0,0,0,0.368820816,0.0253972374,1105.58276,9567.69955,8977.6,0,3496.8
0.085,40.3571247,0,-104.454332,0,0,0,0.368693979,0.0253375888,1104.87511,9562.17341,8976.2,0,3496.6
0.09,40.2234166,0,-104.147462,0,0,0,0.36856744,0.0252780767,1104.16875,9556.6508,8974.8,0,3496.4
0.095,40.090202,0,-103.841543,0,0,0,0.368441198,0.0252187007,1103.46368,9551.13172,8973.4,0,3496.2
0.1,39.9574785,0,-103.536572,0,0,0,0.368315252,0.0251594604,1102.75989,9545.61616,8972,0,3496
0.105,39.8252441,0,-103.232544,0,0,0,0.368189602,0.0251003555,1102.05738,9540.10412,8970.6,0,3495.8
0.11,39.6934964,0,-102.929457,0,0,0,0.368064248,0.0250413854,1101.35615,9534.59558,8969.2,0,3495.6
0.115,39.5622332,0,-102.627307,0,0,0,0.367939188,0.0249825498,1100.65619,9529.09055,8967.8,0,3495.4
0.12,39.4314524,0,-102.32609,0,0,0,0.367814422,0.0249238484,1099.9575,9523.58902,8966.4,0,3495.2
0.125,39.3011518,0,-102.025802,0,0,0,0.367689949,0.0248652806,1099.26007,9518.09097,8965,0,3495
0.13,39.1713292,0,-101.726441,0,0,0,0.367565769,0.0248068461,1098.5639,9512.59641,8963.6,0,3494.8
0.135,39.0419823,0,-101.428002,0,0,0,0.36744188,0.0247485445,1097.86899,9507.10533,8962.2,0,3494.6
0.14,38.9131092,0,-101.130482,0,0,0,0.367318283,0.0246903753,1097.17534,9501.61772,8960.8,0,3494.4
0.145,38.7847076,0,-100.833877,0,0,0,0.367194976,0.0246323383,1096.48294,9496.13358,8959.4,0,3494.2
0.15,38.6567755,0,-100.538184,0,0,0,0.367071959,0.0245744329,1095.79179,9490.65289,8958,0,3494
0.155,38.5293106,0,-100.2434,0,0,0,0.366949231,0.0245166589,1095.10187,9485.17566,8956.6,0,3493.8
0.16,38.402311,0,-99.949521,0,0,0,0.366826792,0.0244590157,1094.4132,9479.70187,8955.2,0,3493.6
0.165,38.2757744,0,-99.6565434,0,0,0,0.366704641,0.024401503,1093.72577,9474.23152,8953.8,0,3493.4
0.17,38.1496989,0,-99.364464,0,0,0,0.366582777,0.0243441205,1093.03957,9468.76461,8952.4,0,3493.2
0.175,38.0240823,0,-99.0732792,0,0,0,0.366461199,0.0242868677,1092.3546,9463.30112,8951,0,3493
0.18,37.8989226,0,-98.7829858,0,0,0,0.366339908,0.0242297442,1091.67086,9457.84106,8949.6,0,3492.8
0.185,37.7742178,0,-98.4935804,0,0,0,0.366218901,0.0241727497,1090.98834,9452.38441,8948.2,0,3492.6
