t,imu_accel_true_x,imu_accel_meas_x,imu_gyro_true_x,imu_gyro_meas_x,seeker_los_true,seeker_los_meas
0,-64.9884891,-64.9884891,0,0,0.370891289,0.370891289
0.005,-64.9872142,-64.9872142,0,0,0.370759591,0.370759591
0.01,-64.985623,-64.985623,0,0,0.370628202,0.370628202
0.015,-64.983718,-64.983718,0,0,0.370497121,0.370497121
0.02,-64.9815016,-64.9815016,0,0,0.370366349,0.370366349
0.025,-64.9789764,-64.9789764,0,0,0.370235883,0.370235883
0.03,-64.9761449,-64.9761449,0,0,0.370105723,0.370105723
0.035,-64.9730094,-64.9730094,0,0,0.369975869,0.369975869
0.04,-64.9695724,-64.9695724,0,0,0.36984632,0.36984632
0.045,-64.9658363,-64.9658363,0,0,0.369717075,0.369717075
0.05,-64.9618036,-64.9618036,0,0,0.369588133,0.369588133
0.055,-64.9574766,-64.9574766,0,0,0.369459494,0.369459494
0.06,-64.9528576,-64.9528576,0,0,0.369331157,0.369331157
0.065,-64.9479491,-64.9479491,0,0,0.369203121,0.369203121
0.07,-64.9427532,-64.9427532,0,0,0.369075387,0.369075387
0.075,-64.9372724,-64.9372724,0,0,0.368947952,0.368947952
0.08,-64.9315089,-64.9315089,0,0,0.368820816,0.368820816
0.085,-64.925465,-64.925465,0,0,0.368693979,0.368693979
0.09,-64.9191429,-64.9191429,0,0,0.36856744,0.36856744
0.095,-64.9125449,-64.9125449,0,0,0.368441198,0.368441198
0.1,-64.9056733,-64.9056733,0,0,0.368315252,0.368315252
0.105,-64.8985301,-64.8985301,0,0,0.368189602,0.368189602
0.11,-64.8911177,-64.8911177,0,0,0.368064248,0.368064248
0.115,-64.8834381,-64.8834381,0,0,0.367939188,0.367939188
0.12,-64.8754935,-64.8754935,0,0,0.367814422,0.367814422
0.125,-64.8672862,-64.8672862,0,0,0.367689949,0.367689949
0.13,-64.8588181,-64.8588181,0,0,0.367565769,0.367565769
0.135,-64.8500914,-64.8500914,0,0,0.36744188,0.36744188
0.14,-64.8411082,-64.8411082,0,0,0.367318283,0.367318283
0.145,-64.8318706,-64.8318706,0,0,0.367194976,0.367194976
0.15,-64.8223806,-64.8223806,0,0,0.367071959,0.367071959
0.155,-64.8126403,-64.8126403,0,0,0.366949231,0.366949231
0.16,-64.8026517,-64.8026517,0,0,0.366826792,0.366826792
0.165,-64.7924169,-64.7924169,0,0,0.366704641,0.366704641
0.17,-64.7819377,-64.7819377,0,0,0.366582777,0.366582777
0.175,-64.7712163,-64.7712163,0,0,0.366461199,0.366461199
0.18,-64.7602546,-64.7602546,0,0,0.366339908,0.366339908
0.185,-64.7490545,-64.7490545,0,0,0.366218901,0.366218901
0.19,-64.737618,-64.737618,0,0,0.36609818,0.36609818
0.195,-64.725947,-64.725947,0,0,0.365977742,0.365977742
0.2,-64.7140434,-64.7140434,0,0,0.365857588,0.365857588
0.205,-64.7019092,-64.7019092,0,0,0.365737716,0.365737716
0.21,-64.6895462,-64.6895462,0,0,0.365618127,0.365618127
0.215,-64.6769562,-64.6769562,0,0,0.365498819,0.365498819
0.22,-64.6641412,-64.6641412,0,0,0.365379792,0.365379792
0.225,-64.651103,-64.651103,0,0,0.365261045,0.365261045
0.23,-64.6378434,-64.6378434,0,0,0.365142577,0.365142577
0.235,-64.6243642,-64.6243642,0,0,0.365024389,0.365024389
0.24,-64.6106673,-64.6106673,0,0,0.364906479,0.364906479
0.245,-64.5967543,-64.5967543,0,0,0.364788846,0.364788846
0.25,-64.5826272,-64.5826272,0,0,0.364671491,0.364671491
0.255,-64.5682876,-64.5682876,0,0,0.364554412,0.364554412
0.26,-64.5537374,-64.5537374,0,0,0.364437609,0.364437609
0.265,-64.5389782,-64.5389782,0,0,0.364321081,0.364321081
0.27,-64.5240117,-64.5240117,0,0,0.364204828,0.364204828
0.275,-64.5088398,-64.5088398,0,0,0.364088849,0.364088849
0.28,-64.493464,-64.493464,0,0,0.363973143,0.363973143
0.285,-64.4778861,-64.4778861,0,0,0.36385771,0.36385771
0.29,-64.4621078,-64.4621078,0,0,0.363742549,0.363742549
0.295,-64.4461306,-64.4461306,0,0,0.36362766,0.36362766
0.3,-64.4299563,-64.4299563,0,0,0.363513041,0.363513041
0.305,-64.4135865,-64.4135865,0,0,0.363398693,0.363398693
0.31,-64.3970228,-64.3970228,0,0,0.363284615,0.363284615
0.315,-64.3802669,-64.3802669,0,0,0.363170806,0.363170806
0.32,-64.3633203,-64.3633203,0,0,0.363057265,0.363057265
0.325,-64.3461846,-64.3461846,0,0,0.362943993,0.362943993
0.33,-64.3288613,-64.3288613,0,0,0.362830988,0.362830988
0.335,-64.3113522,-64.3113522,0,0,0.362718249,0.362718249
0.34,-64.2936587,-64.2936587,0,0,0.362605777,0.362605777
0.345,-64.2757823,-64.2757823,0,0,0.362493571,0.362493571
0.35,-64.2577246,-64.2577246,0,0,0.362381629,0.362381629
0.355,-64.2394872,-64.2394872,0,0,0.362269952,0.362269952
0.36,-64.2210714,-64.2210714,0,0,0.362158539,0.362158539
0.365,-64.2024789,-64.2024789,0,0,0.362047389,0.362047389
0.37,-64.1837111,-64.1837111,0,0,0.361936501,0.361936501
0.375,-64.1647695,-64.1647695,0,0,0.361825876,0.361825876
0.38,-64.1456555,-64.1456555,0,0,0.361715513,0.361715513
0.385,-64.1263707,-64.1263707,0,0,0.36160541,0.36160541
0.39,-64.1069163,-64.1069163,0,0,0.361495568,0.361495568
0.395,-64.087294,-64.087294,0,0,0.361385986,0.361385986
0.4,-64.0675051,-64.0675051,0,0,0.361276662,0.361276662
0.405,-64.0475509,-64.0475509,0,0,0.361167598,0.361167598
0.41,-64.027433,-64.027433,0,0,0.361058792,0.361058792
0.415,-64.0071527,-64.0071527,0,0,0.360950243,0.360950243
0.42,-63.9867114,-63.9867114,0,0,0.360841951,0.360841951
0.425,-63.9661105,-63.9661105,0,0,0.360733916,0.360733916
0.43,-63.9453513,-63.9453513,0,0,0.360626137,0.360626137
0.435,-63.9244351,-63.9244351,0,0,0.360518613,0.360518613
0.44,-63.9033634,-63.9033634,0,0,0.360411343,0.360411343
0.445,-63.8821374,-63.8821374,0,0,0.360304328,0.360304328
0.45,-63.8607585,-63.8607585,0,0,0.360197567,0.360197567
0.455,-63.839228,-63.839228,0,0,0.360091059,0.360091059
