t,x,y,z,vx,vy,vz
0,9000,0,3500,-280,0,-40
0.005,8998.6,0,3499.8,-280,0,-40
0.01,8997.2,0,3499.6,-280,0,-40
0.015,8995.8,0,3499.4,-280,0,-40
0.02,8994.4,0,3499.2,-280,0,-40
0.025,8993,0,3499,-280,0,-40
0.03,8991.6,0,3498.8,-280,0,-40
0.035,8990.2,0,3498.6,-280,0,-40
0.04,8988.8,0,3498.4,-280,0,-40
0.045,8987.4,0,3498.2,-280,0,-40
0.05,8986,0,3498,-280,0,-40
0.055,8984.6,0,3497.8,-280,0,-40
0.06,8983.2,0,3497.6,-280,0,-40
0.065,8981.8,0,3497.4,-280,0,-40
0.07,8980.4,0,3497.2,-280,0,-40
0.075,8979,0,3497,-280,0,-40
0.08,8977.6,0,3496.8,-280,0,-40
0.085,8976.2,0,3496.6,-280,0,-40
0.09,8974.8,0,3496.4,-280,0,-40
0.095,8973.4,0,3496.2,-280,0,-40
0.1,8972,0,3496,-280,0,-40
0.105,8970.6,0,3495.8,-280,0,-40
0.11,8969.2,0,3495.6,-280,0,-40
0.115,8967.8,0,3495.4,-280,0,-40
0.12,8966.4,0,3495.2,-280,0,-40
0.125,8965,0,3495,-280,0,-40
0.13,8963.6,0,3494.8,-280,0,-40
0.135,8962.2,0,3494.6,-280,0,-40
0.14,8960.8,0,3494.4,-280,0,-40
0.145,8959.4,0,3494.2,-280,0,-40
0.15,8958,0,3494,-280,0,-40
0.155,8956.6,0,3493.8,-280,0,-40
0.16,8955.2,0,3493.6,-280,0,-40
0.165,8953.8,0,3493.4,-280,0,-40
0.17,8952.4,0,3493.2,-280,0,-40
0.175,8951,0,3493,-280,0,-40
0.18,8949.6,0,3492.8,-280,0,-40
0.185,8948.2,0,3492.6,-280,0,-40
0.19,8946.8,0,3492.4,-280,0,-40
0.195,8945.4,0,3492.2,-280,0,-40
0.2,8944,0,3492,-280,0,-40
0.205,8942.6,0,3491.8,-280,0,-40
0.21,8941.2,0,3491.6,-280,0,-40
0.215,8939.8,0,3491.4,-280,0,-40
0.22,8938.4,0,3491.2,-280,0,-40
0.225,8937,0,3491,-280,0,-40
0.23,8935.6,0,3490.8,-280,0,-40
0.235,8934.2,0,3490.6,-280,0,-40
0.24,8932.8,0,3490.4,-280,0,-40
0.245,8931.4,0,3490.2,-280,0,-40
0.25,8930,0,3490,-280,0,-40
0.255,8928.6,0,3489.8,-280,0,-40
0.26,8927.2,0,3489.6,-280,0,-40
0.265,8925.8,0,3489.4,-280,0,-40
0.27,8924.4,0,3489.2,-280,0,-40
0.275,8923,0,3489,-280,0,-40
0.28,8921.6,0,3488.8,-280,0,-40
0.285,8920.2,0,3488.6,-280,0,-40
0.29,8918.8,0,3488.4,-280,0,-40
0.295,8917.4,0,3488.2,-280,0,-40
0.3,8916,0,3488,-280,0,-40
0.305,8914.6,0,3487.8,-280,0,-40
0.31,8913.2,0,3487.6,-280,0,-40
0.315,8911.8,0,3487.4,-280,0,-40
0.32,8910.4,0,3487.2,-280,0,-40
0.325,8909,0,3487,-280,0,-40
0.33,8907.6,0,3486.8,-280,0,-40
0.335,8906.2,0,3486.6,-280,0,-40
0.34,8904.8,0,3486.4,-280,0,-40
0.345,8903.4,0,3486.2,-280,0,-40
0.35,8902,0,3486,-280,0,-40
0.355,8900.6,0,3485.8,-280,0,-40
0.36,8899.2,0,3485.6,-280,0,-40
0.365,8897.8,0,3485.4,-280,0,-40
0.37,8896.4,0,3485.2,-280,0,-40
0.375,8895,0,3485,-280,0,-40
0.38,8893.6,0,3484.8,-280,0,-40
0.385,8892.2,0,3484.6,-280,0,-40
0.39,8890.8,0,3484.4,-280,0,-40
0.395,8889.4,0,3484.2,-280,0,-40
0.4,8888,0,3484,-280,0,-40
0.405,8886.6,0,3483.8,-280,0,-40
0.41,8885.2,0,3483.6,-280,0,-40
0.415,8883.8,0,3483.4,-280,0,-40
0.42,8882.4,0,3483.2,-280,0,-40
0.425,8881,0,3483,-280,0,-40
0.43,8879.6,0,3482.8,-280,0,-40
0.435,8878.2,0,3482.6,-280,0,-40
0.44,8876.8,0,3482.4,-280,0,-40
0.445,8875.4,0,3482.2,-280,0,-40
0.45,8874,0,3482,-280,0,-40
0.455,8872.6,0,3481.8,-280,0,-40
0.46,8871.2,0,3481.6,-280,0,-40
0.465,8869.8,0,3481.4,-280,0,-40
0.47,8868.4,0,3481.2,-280,0,-40
0.475,8867,0,3481,-280,0,-40
0.48,8865.6,0,3480.8,-280,0,-40
0.485,8864.2,0,3480.6,-280,0,-40
0.49,8862.8,0,3480.4,-280,0,-40
0.495,8861.4,0,3480.2,-280,0,-40
0.5,8860,0,3480,-280,0,-40
0.505,8858.6,0,3479.8,-280,0,-40
0.51,8857.2,0,3479.6,-280,0,-40
0.515,8855.8,0,3479.4,-280,0,-40
0.52,8854.4,0,3479.2,-280,0,-40
0.525,8853,0,3479,-280,0,-40
0.53,8851.6,0,3478.8,-280,0,-40
0.535,8850.2,0,3478.6,-280,0,-40
0.54,8848.8,0,3478.4,-280,0,-40
0.545,8847.4,0,3478.2,-280,0,-40
0.55,8846,0,3478,-280,0,-40
0.555,8844.6,0,3477.8,-280,0,-40
0.56,8843.2,0,3477.6,-280,0,-40
0.565,8841.8,0,3477.4,-280,0,-40
0.57,8840.4,0,3477.2,-280,0,-40
0.575,8839,0,3477,-280,0,-40
0.58,8837.6,0,3476.8,-280,0,-40
0.585,8836.2,0,3476.6,-280,0,-40
0.59,8834.8,0,3476.4,-280,0,-40
0.595,8833.4,0,3476.2,-280,0,-40
0.6,8832,0,3476,-280,0,-40
0.605,8830.6,0,3475.8,-280,0,-40
0.61,8829.2,0,3475.6,-280,0,-40
0.615,8827.8,0,3475.4,-280,0,-40
0.62,8826.4,0,3475.2,-280,0,-40
0.625,8825,0,3475,-280,0,-40
0.63,8823.6,0,3474.8,-280,0,-40
0.635,8822.2,0,3474.6,-280,0,-40
0.64,8820.8,0,3474.4,-280,0,-40
0.645,8819.4,0,3474.2,-280,0,-40
0.65,8818,0,3474,-280,0,-40
0.655,8816.6,0,3473.8,-280,0,-40
0.66,8815.2,0,3473.6,-280,0,-40
