t,x,y,z,vx,vy,vz,roll,pitch,yaw,mass,mach,thrust
0,0,0,0,668.830343,0,602.217546,0,0,0,22,2.64477197,0
0.005,3.34333936,0,3.00838026,668.5054,0,601.13456,0,0,0,22,2.64202305,0
0.01,6.68505402,0,6.01135285,668.180464,0,600.054475,0,0,0,22,2.63928063,0
0.015,10.025144,0,9.00893224,667.855536,0,598.977281,0,0,0,22,2.63654468,0
0.02,13.3636094,0,12.0011329,667.530618,0,597.90297,0,0,0,22,2.63381519,0
0.025,16.7004502,0,14.9879691,667.20571,0,596.831531,0,0,0,22,2.63109212,0
0.03,20.0356665,0,17.9694553,666.880815,0,595.762956,0,0,0,22,2.62837546,0
0.035,23.3692584,0,20.9456058,666.555935,0,594.697234,0,0,0,22,2.62566519,0
0.04,26.7012259,0,23.9164348,666.23107,0,593.634357,0,0,0,22,2.62296128,0
0.045,30.0315692,0,26.8819565,665.906222,0,592.574316,0,0,0,22,2.62026371,0
0.05,33.3602882,0,29.842185,665.581393,0,591.517101,0,0,0,22,2.61757246,0
0.055,36.6873831,0,32.7971345,665.256583,0,590.462703,0,0,0,22,2.61488751,0
0.06,40.0128541,0,35.7468191,664.931796,0,589.411114,0,0,0,22,2.61220884,0
0.065,43.3367011,0,38.6912527,664.607032,0,588.362323,0,0,0,22,2.60953642,0
0.07,46.6589245,0,41.6304493,664.282292,0,587.316321,0,0,0,22,2.60687024,0
0.075,49.9795241,0,44.5644228,663.957578,0,586.273101,0,0,0,22,2.60421026,0
0.08,53.2985003,0,47.4931872,663.632892,0,585.232652,0,0,0,22,2.60155648,0
0.085,56.6158531,0,50.4167563,663.308234,0,584.194966,0,0,0,22,2.59890887,0
0.09,59.9315827,0,53.3351438,662.983607,0,583.160034,0,0,0,22,2.59626742,0
0.095,63.2456893,0,56.2483635,662.659011,0,582.127847,0,0,0,22,2.59363208,0
0.1,66.5581729,0,59.1564291,662.334449,0,581.098395,0,0,0,22,2.59100286,0
0.105,69.8690338,0,62.0593542,662.00992,0,580.071671,0,0,0,22,2.58837972,0
0.11,73.1782722,0,64.9571526,661.685428,0,579.047666,0,0,0,22,2.58576265,0
0.115,76.4858882,0,67.8498377,661.360972,0,578.02637,0,0,0,22,2.58315163,0
0.12,79.791882,0,70.737423,661.036555,0,577.007775,0,0,0,22,2.58054663,0
0.125,83.0962539,0,73.6199221,660.712177,0,575.991872,0,0,0,22,2.57794763,0
0.13,86.3990039,0,76.4973485,660.387841,0,574.978653,0,0,0,22,2.57535462,0
0.135,89.7001324,0,79.3697154,660.063547,0,573.968109,0,0,0,22,2.57276758,0
0.14,92.9996395,0,82.2370362,659.739296,0,572.960231,0,0,0,22,2.57018648,0
0.145,96.2975255,0,85.0993243,659.415091,0,571.955011,0,0,0,22,2.5676113,0
0.15,99.5937905,0,87.9565929,659.090931,0,570.952441,0,0,0,22,2.56504202,0
0.155,102.888435,0,90.8088553,658.76682,0,569.952511,0,0,0,22,2.56247863,0
0.16,106.181459,0,93.6561246,658.442756,0,568.955213,0,0,0,22,2.5599211,0
0.165,109.472863,0,96.498414,658.118743,0,567.960539,0,0,0,22,2.55736942,0
0.17,112.762646,0,99.3357366,657.794781,0,566.968481,0,0,0,22,2.55482356,0
0.175,116.050811,0,102.168105,657.470871,0,565.979029,0,0,0,22,2.55228351,0
0.18,119.337355,0,104.995533,657.147015,0,564.992177,0,0,0,22,2.54974924,0
0.185,122.622281,0,107.818034,656.823214,0,564.007915,0,0,0,22,2.54722074,0
0.19,125.905588,0,110.635619,656.499469,0,563.026235,0,0,0,22,2.54469798,0
0.195,129.187276,0,113.448302,656.175781,0,562.047129,0,0,0,22,2.54218095,0
0.2,132.467345,0,116.256097,655.852151,0,561.070588,0,0,0,22,2.53966963,0
0.205,135.745797,0,119.059015,655.528581,0,560.096605,0,0,0,22,2.537164,0
0.21,139.022631,0,121.857069,655.205071,0,559.125172,0,0,0,22,2.53466404,0
0.215,142.297848,0,124.650273,654.881623,0,558.15628,0,0,0,22,2.53216972,0
0.22,145.571448,0,127.438638,654.558239,0,557.18992,0,0,0,22,2.52968104,0
0.225,148.843431,0,130.222178,654.234918,0,556.226086,0,0,0,22,2.52719798,0
0.23,152.113797,0,133.000905,653.911662,0,555.264769,0,0,0,22,2.5247205,0
0.235,155.382547,0,135.774832,653.588473,0,554.305962,0,0,0,22,2.5222486,0
0.24,158.649682,0,138.543971,653.265351,0,553.349655,0,0,0,22,2.51978226,0
0.245,161.915201,0,141.308335,652.942298,0,552.395841,0,0,0,22,2.51732146,0
0.25,165.179105,0,144.067936,652.619314,0,551.444513,0,0,0,22,2.51486617,0
0.255,168.441395,0,146.822786,652.296401,0,550.495662,0,0,0,22,2.51241639,0
0.26,171.702069,0,149.572899,651.97356,0,549.54928,0,0,0,22,2.50997209,0
0.265,174.96113,0,152.318285,651.650791,0,548.605361,0,0,0,22,2.50753325,0
0.27,178.218578,0,155.058958,651.328096,0,547.663895,0,0,0,22,2.50509986,0
0.275,181.474411,0,157.79493,651.005476,0,546.724875,0,0,0,22,2.5026719,0
0.28,184.728632,0,160.526213,650.682932,0,545.788294,0,0,0,22,2.50024935,0
0.285,187.981241,0,163.252819,650.360465,0,544.854143,0,0,0,22,2.49783219,0
0.29,191.232237,0,165.974761,650.038075,0,543.922416,0,0,0,22,2.4954204,0
0.295,194.481622,0,168.69205,649.715765,0,542.993104,0,0,0,22,2.49301397,0
0.3,197.729395,0,171.404698,649.393534,0,542.0662,0,0,0,22,2.49061288,0
0.305,200.975557,0,174.112718,649.071384,0,541.141696,0,0,0,22,2.48821711,0
0.31,204.220109,0,176.816121,648.749316,0,540.219585,0,0,0,22,2.48582665,0
0.315,207.463051,0,179.514919,648.427331,0,539.299858,0,0,0,22,2.48344147,0
0.32,210.704383,0,182.209125,648.10543,0,538.38251,0,0,0,22,2.48106155,0
0.325,213.944105,0,184.89875,647.783613,0,537.467532,0,0,0,22,2.47868689,0
0.33,217.182219,0,187.583806,647.461882,0,536.554916,0,0,0,22,2.47631746,0
0.335,220.418724,0,190.264305,647.140238,0,535.644656,0,0,0,22,2.47395325,0
0.34,223.653622,0,192.940259,646.818681,0,534.736743,0,0,0,22,2.47159424,0
0.345,226.886911,0,195.611679,646.497213,0,533.831172,0,0,0,22,2.46924041,0
0.35,230.118594,0,198.278576,646.175834,0,532.927933,0,0,0,22,2.46689174,0
0.355,233.34867,0,200.940964,645.854545,0,532.027021,0,0,0,22,2.46454822,0
0.36,236.57714,0,203.598852,645.533348,0,531.128427,0,0,0,22,2.46220983,0
0.365,239.804004,0,206.252254,645.212243,0,530.232144,0,0,0,22,2.45987656,0
0.37,243.029262,0,208.90118,644.89123,0,529.338166,0,0,0,22,2.45754838,0
0.375,246.252916,0,211.545641,644.570312,0,528.446484,0,0,0,22,2.45522528,0
0.38,249.474966,0,214.18565,644.249488,0,527.557093,0,0,0,22,2.45290725,0
0.385,252.695411,0,216.821218,643.928759,0,526.669984,0,0,0,22,2.45059426,0
0.39,255.914254,0,219.452356,643.608128,0,525.785151,0,0,0,22,2.4482863,0
0.395,259.131493,0,222.079075,643.287593,0,524.902586,0,0,0,22,2.44598336,0
0.4,262.34713,0,224.701387,642.967157,0,524.022282,0,0,0,22,2.44368542,0
0.405,265.561165,0,227.319304,642.646819,0,523.144233,0,0,0,22,2.44139245,0
0.41,268.773598,0,229.932835,642.326581,0,522.268432,0,0,0,22,2.43910445,0
0.415,271.984431,0,232.541993,642.006444,0,521.39487,0,0,0,22,2.4368214,0
0.42,275.193663,0,235.14679,641.686408,0,520.523543,0,0,0,22,2.43454329,0
0.425,278.401295,0,237.747234,641.366475,0,519.654441,0,0,0,22,2.43227008,0
0.43,281.607328,0,240.343339,641.046644,0,518.78756,0,0,0,22,2.43000178,0
0.435,284.811762,0,242.935116,640.726917,0,517.922891,0,0,0,22,2.42773837,0
0.44,288.014597,0,245.522574,640.407295,0,517.060427,0,0,0,22,2.42547982,0
0.445,291.215835,0,248.105725,640.087778,0,516.200163,0,0,0,22,2.42322612,0
0.45,294.415475,0,250.684581,639.768368,0,515.342091,0,0,0,22,2.42097726,0
0.455,297.613519,0,253.259152,639.449064,0,514.486205,0,0,0,22,2.41873323,0
0.46,300.809966,0,255.829449,639.129868,0,513.632497,0,0,0,22,2.41649399,0
0.465,304.004818,0,258.395482,638.81078,0,512.780961,0,0,0,22,2.41425955,0
0.47,307.198074,0,260.957264,638.491802,0,511.931591,0,0,0,22,2.41202988,0
0.475,310.389736,0,263.514803,638.172933,0,511.084379,0,0,0,22,2.40980497,0
